N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Temperature,Humidity,Rainfall,Season,Irrigation_Type,Recommended_Crop
41,51,57,7.39,14.68,Sandy,32.98,70.3,2228.62,Kharif,Sprinkler,Rice
108,29,28,7.82,51,Silt,38.14,77.44,468.36,Kharif,Drip,Millet
68,77,101,8.1,44.18,Sandy,13.03,49.56,1633.51,Kharif,Sprinkler,Wheat
78,54,92,4.77,32.61,Loamy,17.19,37.69,1700.82,Zaid,Drip,Barley
34,84,26,5.71,22.37,Silt,20.64,56.39,2875.08,Kharif,Drip,Rice
70,51,91,5.78,17.59,Clay,26.22,51.74,2634.3,Kharif,Drip,Rice
127,56,91,6.24,32.92,Loamy,22.26,75.19,1576.73,Kharif,Drip,Rice
74,14,96,5.18,54.26,Loamy,35.83,43.77,2563.71,Rabi,Canal,Rice
83,58,49,6.48,19.42,Loamy,38.52,38.29,2413.62,Kharif,Sprinkler,Rice
150,46,59,7.15,38.43,Loamy,12.1,56.41,278.11,Zaid,Drip,Wheat
70,43,82,6.49,58.08,Sandy,30.99,67.68,2781.98,Kharif,Canal,Rice
154,82,38,7.16,41.86,Sandy,13.43,46.86,2126.13,Zaid,Rainfed,Wheat
40,79,60,4.77,32,Loamy,36.94,36.87,2081.47,Zaid,Drip,Rice
92,27,51,8,45.82,Silt,14.26,56.35,2197.75,Kharif,Canal,Wheat
37,87,38,8.26,51.23,Loamy,39.75,87.71,829.33,Zaid,Canal,Millet
151,28,75,6.97,39.53,Clay,22.83,88.04,281.68,Zaid,Drip,Maize
108,87,26,8.03,53.59,Loamy,21.46,72.52,849.16,Rabi,Canal,Wheat
79,49,118,5.03,35.73,Sandy,27.59,76.63,2424.82,Kharif,Drip,Rice
33,26,40,7.69,51.5,Clay,21.83,42.21,1872.48,Kharif,Sprinkler,Rice
28,69,101,4.98,57.6,Silt,17.04,52.48,1211.58,Zaid,Rainfed,Barley
109,51,116,6.13,35.06,Loamy,28.87,66.29,876.25,Rabi,Rainfed,Wheat
72,81,61,5.8,40.25,Clay,31.85,75.02,2439.53,Zaid,Rainfed,Rice
149,74,48,6.84,40.47,Loamy,38.36,40,1482.03,Zaid,Canal,Sugarcane
103,62,69,5.71,49.07,Silt,22.27,57.46,1912.88,Kharif,Canal,Rice
111,16,103,7.05,51.15,Silt,31.17,39.77,235.2,Zaid,Drip,Millet
130,14,108,5.97,11.36,Clay,35.01,68,1403.81,Rabi,Drip,Sugarcane
27,33,60,7.94,46.67,Silt,34.94,76.33,243.22,Zaid,Drip,Millet
54,37,93,7.04,49.19,Clay,11.03,80,2404.8,Zaid,Rainfed,Wheat
100,71,25,5.36,45.02,Silt,20.67,73.94,897.9,Kharif,Sprinkler,Barley
69,26,107,5.84,45.68,Sandy,10.4,39.55,667.94,Zaid,Drip,Cotton
123,29,23,7.89,12.07,Clay,26.77,79.7,2793.9,Kharif,Canal,Rice
151,12,99,6.05,32.1,Loamy,35.95,50.06,250.42,Kharif,Drip,Millet
21,46,93,6.64,50.91,Clay,34.45,80.15,753.9,Zaid,Rainfed,Millet
153,24,51,7.1,56.7,Silt,34.34,45.05,873.36,Rabi,Rainfed,Barley
73,60,60,5.89,21.47,Silt,20.56,58.54,2503.85,Zaid,Drip,Rice
125,57,33,5.68,38.96,Silt,11.39,64.59,2188.23,Kharif,Canal,Sugarcane
23,17,116,6.4,50.22,Loamy,15.17,32.08,2908.74,Rabi,Drip,Wheat
73,22,91,5.36,47.62,Loamy,30.12,84.22,2145.6,Rabi,Sprinkler,Rice
63,57,52,5.64,40.94,Silt,14.02,60.69,861.69,Rabi,Drip,Barley
33,12,82,4.75,10.93,Sandy,13.76,41.52,667.14,Zaid,Rainfed,Cotton
114,74,28,5.72,46.19,Clay,20.61,39.65,2315.14,Zaid,Drip,Rice
67,82,93,5.78,48.66,Silt,12.84,71.19,2722.53,Rabi,Drip,Wheat
34,40,70,8.35,46.14,Sandy,19.89,34.9,2752.68,Kharif,Drip,Wheat
59,35,115,6.86,48.29,Loamy,39.09,56.39,2359.07,Zaid,Rainfed,Rice
101,65,103,7.65,31.55,Silt,10.6,62.42,2424.23,Kharif,Rainfed,Wheat
130,43,72,4.68,59.69,Clay,34.92,43.99,2054.63,Rabi,Rainfed,Rice
72,18,35,4.93,48.54,Clay,39.81,37.75,2260.32,Rabi,Drip,Rice
43,71,104,7.76,38.93,Loamy,23.09,59.44,524.94,Rabi,Canal,Barley
143,22,44,6.99,56.71,Silt,38.29,50.42,1121.78,Kharif,Sprinkler,Sugarcane
60,78,76,5.26,55.41,Silt,17.83,38.41,1482.68,Kharif,Drip,Pulses
34,50,65,6.12,50.73,Silt,39.47,42.62,2060.1,Kharif,Drip,Rice
64,86,49,6.65,38.18,Sandy,35.85,58.26,1369.51,Zaid,Drip,Rice
84,10,38,7.87,36.36,Sandy,36.54,37.98,1249.99,Zaid,Sprinkler,Barley
108,56,15,4.74,26.44,Silt,13.91,86.17,1778.07,Kharif,Sprinkler,Sugarcane
90,13,61,6.89,22.54,Clay,36.1,76.53,1304.4,Kharif,Rainfed,Pulses
28,72,10,7.37,35.62,Sandy,38.25,49.53,403.11,Kharif,Rainfed,Millet
107,61,61,8.41,38.89,Clay,34.57,45.5,2914.37,Rabi,Rainfed,Rice
148,19,33,7.73,22.23,Sandy,12.74,82.46,2793.25,Zaid,Sprinkler,Wheat
155,37,111,5.6,56.13,Loamy,12.54,55.62,309.22,Zaid,Rainfed,Cotton
82,15,43,7.34,37.86,Loamy,20.73,81.76,1681.72,Rabi,Rainfed,Rice
158,36,16,7.55,36.33,Loamy,31.15,74.55,2195.77,Kharif,Sprinkler,Rice
100,21,84,7.42,31.78,Clay,10.37,35.53,1907.62,Zaid,Canal,Wheat
155,71,20,7.78,12.9,Clay,38.52,78.82,1189.48,Rabi,Drip,Sugarcane
52,61,45,8.11,54.12,Silt,25.76,62.39,2449.17,Kharif,Rainfed,Rice
142,57,29,4.89,25.85,Silt,20.75,70.66,1921.29,Rabi,Canal,Rice
24,76,72,4.92,42.12,Loamy,26.84,43.14,869,Zaid,Sprinkler,Maize
60,55,89,7.69,40.37,Loamy,31.47,30.02,1911.45,Rabi,Canal,Rice
47,83,72,5.51,39.22,Sandy,18.2,50.02,969.08,Kharif,Canal,Cotton
154,24,78,4.73,36.29,Loamy,18.73,41.44,1868.38,Zaid,Rainfed,Sugarcane
91,80,97,6.1,19.07,Loamy,24.05,56.11,2340.09,Zaid,Sprinkler,Rice
31,45,39,7.78,24.03,Loamy,30.1,35.45,1047.12,Zaid,Rainfed,Pulses
52,23,39,5.01,36.21,Clay,31.19,83.7,991.06,Zaid,Sprinkler,Barley
67,87,112,7.19,49.47,Clay,19.72,37.12,2234.77,Rabi,Canal,Wheat
81,12,110,4.51,31.6,Loamy,19.67,75.85,1623.44,Rabi,Drip,Wheat
56,76,106,4.94,20.2,Sandy,24.61,86.36,588.64,Zaid,Drip,Cotton
118,28,93,5.9,14.4,Sandy,26.26,38.89,1727.95,Zaid,Canal,Rice
123,85,31,4.83,43.15,Silt,29.48,50.79,2056.99,Rabi,Drip,Rice
54,63,114,7.88,31.17,Loamy,28.53,73.86,1575.68,Kharif,Drip,Rice
120,78,70,7.96,16.27,Clay,21.18,72.87,1947.65,Zaid,Rainfed,Rice
150,19,30,7.52,43.72,Loamy,18.91,32.24,1221.59,Zaid,Canal,Wheat
20,42,46,5.47,20.38,Sandy,19.24,34.24,2657.88,Kharif,Rainfed,Maize
24,22,36,6.59,35.45,Clay,29.36,37.21,871.9,Zaid,Drip,Potato
122,60,111,5.24,25.31,Clay,22.99,64.08,987.77,Rabi,Canal,Potato
46,41,44,5.63,56.58,Clay,14.03,33.3,2366.25,Kharif,Sprinkler,Tomato
156,84,47,6.56,21.41,Silt,10.18,65.3,362,Zaid,Canal,Wheat
34,33,113,7.44,31,Loamy,10.89,50.55,2964.66,Kharif,Drip,Wheat
109,44,69,4.88,57.97,Loamy,36.03,70.16,1961.24,Rabi,Canal,Rice
61,79,79,5.69,25.94,Loamy,23.73,76.92,2460.85,Kharif,Canal,Rice
143,49,41,8.21,42.23,Sandy,29.72,77.48,1835.04,Kharif,Drip,Rice
82,63,89,6.22,25.84,Clay,37.87,32.26,2401.72,Rabi,Canal,Rice
115,53,101,8.26,15.53,Clay,13.79,86.83,1415.76,Zaid,Canal,Wheat
71,71,89,8.47,41.38,Sandy,23.43,65.2,1814.88,Kharif,Sprinkler,Rice
115,77,36,6.61,55.8,Silt,26.17,83.74,2053.39,Rabi,Sprinkler,Rice
151,42,12,5.65,32.63,Sandy,35.25,66.91,2725.4,Kharif,Canal,Rice
48,86,58,7.66,41.31,Clay,39.81,59.05,297.36,Rabi,Sprinkler,Millet
55,65,94,5.14,40.44,Silt,31.35,73.78,504.95,Rabi,Drip,Millet
32,45,111,5.51,30.75,Silt,29.26,43.17,2133.81,Rabi,Canal,Rice
90,63,111,7.64,40.74,Clay,37.61,36.19,1164.21,Kharif,Canal,Wheat
105,28,39,6.23,22.97,Sandy,35.12,35.43,2097.65,Kharif,Sprinkler,Rice
47,52,31,5.31,28.9,Loamy,35.95,80.95,837.66,Rabi,Canal,Barley
85,21,28,7.1,32.12,Loamy,10.08,84.75,1959.13,Rabi,Canal,Wheat
64,20,40,7.43,53.2,Loamy,25.43,78.86,1538.72,Zaid,Sprinkler,Rice
81,79,29,5,27.42,Sandy,33.48,84.27,544.17,Rabi,Sprinkler,Millet
153,21,28,5.61,41.76,Clay,15.44,89.09,2802.4,Kharif,Drip,Sugarcane
47,50,11,5.39,20.67,Sandy,32.54,61.56,2418.15,Kharif,Drip,Rice
47,34,49,6.02,22.63,Loamy,10.27,39.23,2387.01,Zaid,Rainfed,Wheat
127,12,48,7.55,42.42,Loamy,27.26,66.48,2151.39,Zaid,Drip,Rice
63,12,100,7.35,48.12,Loamy,35.54,51.23,259.78,Kharif,Rainfed,Millet
103,37,81,7.15,33.11,Sandy,22.94,50.79,1612.94,Rabi,Sprinkler,Rice
49,32,118,4.53,26.75,Sandy,32.18,73.67,2302.69,Rabi,Canal,Rice
94,57,63,5.07,55.51,Loamy,25.91,35.44,806.9,Kharif,Canal,Rice
147,76,36,5.39,16.79,Silt,29.42,32.25,1922.74,Kharif,Rainfed,Rice
111,51,88,5.59,46.04,Loamy,25.5,71.72,2802.55,Rabi,Drip,Rice
148,49,21,5.09,44.51,Clay,24.28,45.64,2308.21,Rabi,Sprinkler,Rice
140,15,87,6.14,44.51,Sandy,35.25,53.13,1733.39,Kharif,Drip,Rice
46,29,80,4.8,56.77,Silt,12.78,48.46,1067.79,Rabi,Rainfed,Potato
140,20,26,7.5,46.41,Silt,27.54,66.89,1982.31,Kharif,Drip,Rice
135,36,99,7.65,25.08,Clay,13.44,39.27,2200.33,Rabi,Canal,Wheat
22,30,110,6.8,27.67,Loamy,26.88,73.24,1985.76,Zaid,Rainfed,Rice
122,22,93,4.86,29.56,Loamy,38.91,85.5,2315.17,Rabi,Rainfed,Rice
156,44,19,8.06,11.54,Loamy,11.71,80.17,981.89,Zaid,Rainfed,Wheat
81,56,28,8.36,55.68,Clay,22.66,84.42,1621.87,Zaid,Sprinkler,Rice
70,37,91,5.31,13.68,Sandy,34.06,86.22,1736.28,Kharif,Canal,Rice
78,30,39,7.32,44.99,Sandy,21.09,52.34,451.68,Zaid,Rainfed,Cotton
137,27,39,7.87,46.51,Clay,25.61,77.74,694.32,Kharif,Sprinkler,Millet
115,40,34,6.66,52.19,Sandy,13.44,59.69,1058.54,Rabi,Sprinkler,Wheat
132,69,97,5.79,37.67,Clay,16.69,46.19,333.72,Kharif,Canal,Wheat
81,46,83,6.41,46.26,Clay,30.59,74.81,854.09,Rabi,Sprinkler,Potato
71,30,75,6.55,25.14,Silt,34.86,44.65,1662.04,Kharif,Drip,Rice
31,23,111,6.1,47.28,Silt,29.39,36.58,1716.89,Rabi,Canal,Rice
58,69,105,8.22,27.17,Sandy,35.11,72.28,898.4,Zaid,Canal,Cotton
149,32,44,7.48,55.14,Silt,28.17,47.25,2850.17,Rabi,Rainfed,Rice
150,38,60,5.47,18.17,Sandy,34.31,48.36,1508.07,Rabi,Canal,Rice
132,56,110,6.84,25.79,Clay,39.49,82.87,1984.37,Kharif,Canal,Rice
120,39,80,7.25,34.94,Sandy,12.48,38.13,285.01,Kharif,Drip,Wheat
132,47,80,5.06,48.79,Silt,24.39,75.89,1317.71,Zaid,Canal,Sugarcane
100,36,36,5.93,47.44,Sandy,15.7,53.17,1717.9,Zaid,Canal,Maize
132,24,19,8.12,20.54,Silt,23.96,83.58,1074.31,Kharif,Sprinkler,Sugarcane
21,68,106,6.77,17.21,Clay,24.99,56.42,679.84,Zaid,Drip,Wheat
149,12,52,5.37,25.2,Loamy,28.66,54.54,763.21,Rabi,Sprinkler,Millet
73,19,64,4.99,34.19,Clay,23.18,55.79,1506.34,Kharif,Sprinkler,Rice
106,88,80,6.57,36.95,Silt,19.74,80.26,398.84,Zaid,Sprinkler,Wheat
148,89,15,6.69,31.46,Sandy,11.3,30.63,856.49,Rabi,Rainfed,Wheat
145,26,15,5.84,43.15,Silt,11.04,72.29,2214.71,Zaid,Rainfed,Sugarcane
149,20,86,7.02,31.38,Silt,15.25,42.31,801.27,Zaid,Sprinkler,Wheat
72,57,57,4.77,57.32,Loamy,23.47,82.93,527.42,Kharif,Canal,Wheat
87,14,86,5.08,23.05,Sandy,22.53,52.56,434.53,Zaid,Sprinkler,Cotton
142,78,11,6.69,41.37,Silt,15.72,50.34,2968.44,Rabi,Rainfed,Wheat
57,73,92,4.75,40.57,Clay,34.67,72.76,443.22,Zaid,Rainfed,Millet
43,23,60,8.02,24.08,Clay,30.5,73.35,1413.8,Kharif,Sprinkler,Cotton
88,59,70,5.07,30.58,Silt,20.29,68.02,1631,Kharif,Sprinkler,Rice
135,35,28,7.2,28.27,Silt,33.91,49.79,2900.81,Kharif,Drip,Rice
117,81,111,6.06,18.62,Silt,39.68,66.62,2695.08,Rabi,Drip,Rice
158,78,11,6.1,33.86,Silt,17.35,33.26,865.5,Rabi,Sprinkler,Wheat
116,16,60,7.56,29.33,Clay,20.88,87.31,437.16,Zaid,Sprinkler,Wheat
143,25,35,6.5,18.92,Loamy,39.79,57.16,1426.2,Kharif,Sprinkler,Sugarcane
89,64,79,7.4,32.49,Silt,14.14,48.27,482.56,Kharif,Sprinkler,Wheat
112,87,29,6.52,31.09,Sandy,12.32,81.65,2639.1,Kharif,Sprinkler,Wheat
22,65,32,6.87,16.57,Loamy,25.63,49.45,2170.57,Zaid,Rainfed,Rice
109,13,63,7.54,16.56,Clay,24.05,89.83,2842.6,Zaid,Sprinkler,Rice
115,57,24,6.93,42.38,Silt,12.35,71.44,1794.47,Kharif,Sprinkler,Wheat
71,26,15,6.96,45.33,Silt,18.7,68.97,1220.39,Zaid,Sprinkler,Wheat
147,45,101,7.66,57.06,Silt,22.57,39.11,1601.81,Zaid,Canal,Rice
58,79,44,8.3,14.35,Silt,34.67,66.59,650.18,Kharif,Canal,Millet
101,89,84,6.01,15.89,Sandy,31.24,39.31,1496.58,Rabi,Rainfed,Sugarcane
123,47,17,6.81,12.59,Silt,37.44,77.02,2996.38,Zaid,Canal,Rice
148,71,66,4.85,36.61,Clay,19.97,38.3,2133.42,Zaid,Sprinkler,Sugarcane
30,57,59,5.94,41.14,Sandy,19.28,51.53,374.6,Zaid,Drip,Cotton
61,19,58,6.15,30.18,Loamy,23.9,58.6,2231.87,Zaid,Rainfed,Rice
118,45,97,7.84,49.9,Loamy,10.23,78.31,481.85,Zaid,Drip,Wheat
26,38,30,6.55,44.33,Loamy,16.22,67.97,1293.8,Zaid,Sprinkler,Wheat
109,87,45,7.42,59.29,Silt,16.34,74.88,2401.5,Rabi,Drip,Wheat
131,13,80,4.58,16.89,Loamy,11.83,44.64,558.65,Zaid,Sprinkler,Sugarcane
79,53,78,6.36,12.92,Sandy,23.65,44.24,1019.68,Rabi,Sprinkler,Barley
132,65,67,8.11,23.74,Sandy,37.17,52.84,746.73,Zaid,Rainfed,Millet
21,51,72,5.4,10.95,Loamy,10.12,31.12,2636.27,Rabi,Drip,Potato
148,22,102,4.63,56.63,Loamy,28.85,79.84,614.17,Rabi,Drip,Millet
67,55,25,6.23,25.2,Sandy,36.38,52.2,1700.2,Kharif,Drip,Rice
159,42,15,7.32,37.62,Clay,13.23,34.05,970.88,Rabi,Canal,Wheat
56,30,87,6.32,25.9,Loamy,37.52,82.33,1620.32,Zaid,Sprinkler,Rice
28,89,61,6.34,22.29,Sandy,34.56,88.07,668.62,Rabi,Drip,Millet
118,88,11,7.18,17.62,Loamy,16.44,68.8,2321.21,Rabi,Canal,Wheat
67,66,98,5.52,26.02,Sandy,37.16,51.4,2000.71,Zaid,Canal,Rice
150,78,104,7.51,40.77,Silt,34.12,54.83,321.59,Kharif,Drip,Millet
73,79,86,5.11,58.58,Loamy,13.34,45.37,2853.18,Zaid,Rainfed,Rice
139,76,27,6.08,37.9,Loamy,34.92,72.68,2700.33,Zaid,Rainfed,Rice
135,57,90,7.12,36.64,Clay,26.27,51.36,1033.78,Zaid,Sprinkler,Sugarcane
94,85,118,7.81,11.76,Clay,34.48,31.95,1017.27,Rabi,Drip,Barley
132,42,101,7.67,52,Clay,28.53,32.77,1597.7,Kharif,Sprinkler,Rice
123,45,85,7.39,12.24,Clay,21.76,66.88,1933.53,Zaid,Sprinkler,Rice
103,42,44,5.94,55.31,Loamy,28.03,47.42,1014.9,Kharif,Rainfed,Sugarcane
131,40,95,4.99,36.93,Loamy,29.09,40.12,2426.99,Zaid,Canal,Rice
118,30,48,5.37,18.42,Clay,32.99,63.14,419.79,Rabi,Canal,Millet
112,36,10,7.96,32.59,Clay,34.92,46.71,1313.94,Rabi,Canal,Sugarcane
147,81,46,7.93,59.75,Loamy,29.9,34.4,1756.27,Rabi,Drip,Rice
129,71,30,8.31,25.25,Silt,39.69,41.61,2439.11,Rabi,Drip,Rice
101,35,10,4.8,23.47,Sandy,33.36,76.67,2641.09,Kharif,Rainfed,Rice
73,75,13,6.65,15.9,Clay,37.32,81.12,884.34,Rabi,Canal,Wheat
87,21,105,7.09,39.86,Sandy,19.58,82.33,874.98,Kharif,Drip,Wheat
52,31,67,7.34,14.46,Silt,19.49,62.09,1231.14,Rabi,Sprinkler,Wheat
40,26,10,7.08,48.3,Silt,20.87,87.06,1397.16,Zaid,Drip,Tomato
67,16,22,7.58,55.96,Silt,23.19,39.1,2575.53,Rabi,Rainfed,Rice
147,77,55,5.94,56.59,Loamy,38.84,70.7,221.2,Rabi,Drip,Millet
155,46,56,5.22,15.4,Sandy,12.21,72.26,2117.89,Zaid,Drip,Sugarcane
154,47,90,5.32,37.91,Silt,24.95,33.19,816.16,Rabi,Sprinkler,Wheat
147,20,85,4.55,14.86,Clay,14.83,46.95,2670.73,Kharif,Sprinkler,Sugarcane
52,10,16,5.9,38.6,Silt,34.33,86.94,1088.57,Zaid,Sprinkler,Sugarcane
134,34,60,4.87,50.75,Clay,10.93,75.54,1705.16,Rabi,Rainfed,Sugarcane
138,51,12,5.79,36.89,Clay,23.65,33.28,1121.3,Kharif,Drip,Sugarcane
41,61,59,7.01,53.6,Silt,21.84,62.45,1390.79,Zaid,Sprinkler,Rice
57,33,35,8.08,50.08,Clay,12.77,68.92,1662.25,Kharif,Drip,Wheat
128,62,40,7.86,23.83,Clay,21.3,88.39,2293.1,Rabi,Drip,Rice
70,65,109,5.51,41.51,Loamy,34.27,72.99,538.12,Rabi,Rainfed,Millet
27,72,71,5.04,10.37,Sandy,14.12,68.32,1186.24,Zaid,Drip,Sugarcane
46,17,35,5.27,29.8,Loamy,39.51,84.51,1990.98,Zaid,Sprinkler,Rice
46,68,76,8.38,21.9,Loamy,11.75,69.66,1848.64,Rabi,Drip,Wheat
40,54,117,6.7,56.86,Loamy,18.67,85.93,2386.33,Rabi,Rainfed,Wheat
49,36,64,5.23,30.27,Sandy,33.25,59.57,2689.41,Zaid,Sprinkler,Rice
116,61,37,7.86,42.7,Sandy,20.73,73.11,463.41,Rabi,Canal,Cotton
47,27,53,6.08,46.6,Silt,24.41,67.91,2198.76,Kharif,Rainfed,Rice
130,25,90,8.1,48.66,Loamy,15.6,63.15,995.22,Kharif,Rainfed,Wheat
80,75,47,5.54,46.79,Sandy,31.46,49.45,1547.88,Kharif,Rainfed,Rice
67,14,39,6.07,24.46,Silt,15.39,84.23,1957.77,Zaid,Rainfed,Wheat
23,12,75,6.52,44.3,Loamy,35.46,46.2,621.71,Rabi,Drip,Millet
54,89,17,8.07,37.45,Loamy,26.18,39.56,1170.45,Kharif,Rainfed,Potato
68,79,23,7.98,39.87,Clay,26.44,72.72,2933.03,Zaid,Drip,Rice
36,16,110,6.8,10.04,Sandy,38.01,62.79,581.63,Kharif,Sprinkler,Millet
65,59,108,5.39,22.91,Clay,33.19,45.77,433.33,Kharif,Canal,Millet
136,23,115,6.11,56.53,Loamy,32.29,82.22,2543.04,Zaid,Rainfed,Rice
25,47,112,8.4,24.5,Loamy,35.74,47.17,1405.78,Rabi,Canal,Barley
118,88,71,6.93,31.9,Loamy,12.75,33.83,2089.42,Kharif,Sprinkler,Wheat
143,56,84,7.62,19.33,Silt,31.78,30.92,1056.06,Kharif,Sprinkler,Sugarcane
56,42,72,6.3,16.93,Clay,17,85.37,755.61,Zaid,Rainfed,Wheat
43,52,88,6.63,20.43,Clay,18.43,54.13,794.93,Kharif,Canal,Wheat
112,38,75,6.22,37.68,Loamy,10.45,42.81,747.65,Rabi,Sprinkler,Wheat
65,66,110,7.31,55.95,Clay,36.81,64.03,891.52,Kharif,Canal,Rice
114,14,116,7.91,26.31,Loamy,32.17,59.27,819.42,Kharif,Drip,Wheat
118,69,105,6.53,26.17,Loamy,14.18,89.99,2478.35,Zaid,Sprinkler,Wheat
135,79,49,6.42,38.21,Clay,19.84,83.31,1693.22,Kharif,Sprinkler,Wheat
86,11,22,5.86,27.84,Sandy,24.4,46.27,1030.21,Zaid,Rainfed,Rice
147,79,116,5.21,55.52,Loamy,24.82,71.86,1166.16,Kharif,Drip,Sugarcane
37,52,26,8.26,28.89,Loamy,27.87,53.23,2881.83,Zaid,Drip,Rice
44,13,24,5.76,34.52,Clay,24.17,51.87,714.84,Rabi,Canal,Barley
73,65,42,7.7,36.67,Clay,29.46,52.03,2682.91,Zaid,Sprinkler,Rice
77,68,25,7.36,49.1,Clay,36.52,68.36,2263.05,Rabi,Sprinkler,Rice
86,18,22,7.66,38.2,Loamy,21.94,62.28,1917.67,Zaid,Rainfed,Rice
123,12,95,8.25,21.96,Sandy,36.3,75.3,1947.46,Kharif,Rainfed,Rice
43,57,32,6.99,16.2,Sandy,16.59,39.18,1384.23,Rabi,Canal,Wheat
133,52,45,8.09,56.89,Sandy,13.64,55.53,1428.78,Kharif,Canal,Wheat
51,10,52,5.17,50.08,Loamy,17.18,81.62,2429.03,Zaid,Sprinkler,Wheat
105,66,59,7.01,11.15,Clay,16.2,30.19,2470.42,Zaid,Rainfed,Wheat
146,62,83,7.59,51.08,Sandy,39.55,67.41,1799.24,Kharif,Canal,Rice
149,25,90,5.59,39.53,Sandy,21.43,77.14,2352.06,Zaid,Canal,Rice
36,60,103,7.46,35.94,Sandy,29.54,53.03,2468.15,Kharif,Sprinkler,Rice
123,84,22,7.61,10.61,Loamy,30.88,83.02,1129.91,Zaid,Canal,Sugarcane
156,64,39,7.82,49.04,Clay,23.36,74.14,1945.4,Rabi,Drip,Rice
62,10,66,5.75,19.9,Silt,16.71,66.36,1420.22,Zaid,Drip,Rice
58,37,119,7.23,46.4,Clay,23.14,41.9,474.7,Kharif,Rainfed,Maize
45,62,39,5.72,10.79,Clay,24.21,70.21,2015.7,Kharif,Canal,Rice
118,67,80,7.46,49.82,Clay,38.62,80.03,1844.96,Rabi,Rainfed,Rice
69,82,19,6.35,11.15,Sandy,27.06,73.79,487.27,Kharif,Canal,Millet
32,69,108,6.89,21.79,Clay,39.1,64.49,398.28,Rabi,Rainfed,Millet
79,68,75,6.16,23.41,Sandy,27.3,72.87,898.98,Kharif,Canal,Potato
154,31,103,5.15,17.88,Loamy,14.35,88.61,2533.56,Rabi,Rainfed,Sugarcane
76,17,92,5.21,34.05,Silt,21.53,30.65,378.3,Zaid,Canal,Wheat
55,58,48,4.81,24.18,Loamy,33.77,69.84,1489.03,Kharif,Sprinkler,Pulses
39,51,46,6.97,59.66,Loamy,22.65,77.58,701.3,Kharif,Rainfed,Maize
84,36,12,7.89,39,Silt,12.99,68.33,909.95,Kharif,Rainfed,Wheat
27,48,98,4.58,38.32,Clay,12.88,46.39,2355.79,Zaid,Canal,Tomato
134,34,43,4.76,21.04,Clay,17.11,79.37,2581.69,Kharif,Rainfed,Sugarcane
111,47,95,6.33,30.43,Sandy,26.94,84.8,1824.81,Rabi,Sprinkler,Rice
117,33,47,7.45,16.2,Clay,34.9,71.01,2617.08,Kharif,Sprinkler,Rice
85,33,23,5.13,48.13,Silt,26.01,60.66,2599.24,Kharif,Sprinkler,Rice
51,69,73,5.59,26.56,Loamy,32.38,51.98,820.25,Rabi,Canal,Potato
105,59,48,5.43,47.6,Clay,29.37,49.8,2006.05,Rabi,Canal,Rice
70,75,63,6.1,28.58,Sandy,25.72,73.39,2379.32,Kharif,Sprinkler,Rice
82,23,11,5.4,59.44,Loamy,16.44,66.43,1770.95,Zaid,Rainfed,Potato
144,62,105,5.91,18.56,Loamy,36.5,39.41,2456.18,Rabi,Canal,Rice
77,41,52,7.41,10.08,Sandy,18.27,38.47,1960.73,Rabi,Rainfed,Wheat
77,57,62,6.94,39.74,Loamy,17.58,34.27,996.48,Rabi,Sprinkler,Wheat
